headline,date,doc_type,material_type,section,keywords
Fact-Checking Pompeo on Iran,2018-07-25,article,News,,"['Nuclear Weapons', 'United States International Relations', 'Embargoes and Sanctions']"
Billy Joel’s Got a Good Job and Hits in His Head,2018-07-25,article,News,,['Pop and Rock Music']
Jimmy Kimmel Celebrates the End of Ivanka Trump’s Fashion Brand,2018-07-25,article,News,,[]
"Giving In to China, U.S. Airlines Drop Taiwan (in Name at Least)",2018-07-25,article,News,,"['United States International Relations', 'AIRLINES AND AIRPLANES']"
New Sentences: From Keith Gessen’s ‘A Terrible Country’,2018-07-25,article,News,,['Books and Literature']
Exercise Makes the Aging Heart More Youthful,2018-07-25,article,News,,"['Age, Chronological', 'Heart', 'Medicine and Health']"
How Goop’s Haters Made Gwyneth Paltrow’s Company Worth $250 Million,2018-07-25,article,News,,['Women and Girls']
The Wildest Roller Coasters of 2018,2018-07-25,article,News,,"['Roller Coasters', 'AMUSEMENT AND THEME PARKS']"
A Debut Novel Mixes Lust With the Directionlessness of Youth,2018-07-25,article,Review,,['Books and Literature']
Bar Soaps for Men Who Don’t Want to Smell Like Machismo,2018-07-25,article,News,,"['Men and Boys', 'Beauty (Concept)']"
Madrid Chefs Rethink the City’s Classic Cuisine,2018-07-25,article,News,,"['Restaurants', 'Travel and Vacations']"
"As Americans Fade From Tour de France, So Do American Flags",2018-07-25,article,News,,"['Tour de France (Bicycle Race)', 'Cycling, Road']"
What Brian Kemp’s Victory Speech Says About His Plan to Take On Stacey Abrams,2018-07-25,article,News,,"['Elections, Governors', 'Midterm Elections (2018)', 'Speeches and Statements', 'Primaries and Caucuses']"
"V.A. Shuns Medical Marijuana, Leaving Vets to Improvise",2018-07-25,article,News,,"['Veterans', 'Medical Marijuana', 'Cannabis Foods and Products', 'Post-Traumatic Stress Disorder', 'Pain', 'Research', 'United States Politics and Government']"
Tech Companies Like Facebook and Twitter Are Drawing Lines. It’ll Be Messy.,2018-07-25,article,News,,"['Computers and the Internet', 'Social Media', 'News and News Media', 'Rumors and Misinformation', 'Freedom of Speech and Expression', 'Media']"
How the Trump Tax Cut Is Helping to Push the Federal Deficit to $1 Trillion,2018-07-25,article,News,,"['National Debt (US)', 'Federal Budget (US)', 'Corporate Taxes', 'Tax Cuts and Jobs Act (2017)', 'United States Politics and Government']"
Into the Land of Happiness: Touring Nepal and Bhutan,2018-07-25,article,News,,['Travel and Vacations']
"Living In ... Highland Falls, N.Y.",2018-07-25,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
"Highland Falls, N.Y.: A Cozy Community Next Door to West Point",2018-07-25,article,News,,['Real Estate and Housing (Residential)']
What You Get for $1.3 Million,2018-07-25,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
"$1.3 Million Homes in Massachusetts, Washington and New Mexico",2018-07-25,article,News,,['Real Estate and Housing (Residential)']
When Your ‘Regular Doctor’ Could Be Anyone,2018-07-25,article,News,,"['Doctors', 'Hospitals', 'Work-Life Balance']"
How Not to Let Your Phone Ruin Your Vacation,2018-07-25,article,News,,"['Text Messaging', 'Mobile Applications', 'Travel and Vacations', 'E-Mail', 'Social Media', 'Computers and the Internet', 'Photography', 'News and News Media', 'Android (Operating System)', 'Smartphones', 'Wireless Communications', 'Privacy']"
"ISIS Bombings Shatter Quiet in Southern Syria, Killing More Than 200 People",2018-07-25,article,News,,['Terrorism']
"Michael Cohen, Georgia Election, Pakistan: Your Wednesday Briefing",2018-07-25,article,briefing,,[]
Thai Boys Become Monks as Rescuer’s Widow Looks On,2018-07-25,article,News,,"['Monasteries and Monks', 'Buddhism', 'Caves and Caverns']"
The Truth About Cardinal McCarrick,2018-07-25,article,Op-Ed,,"['Priests', 'Sex Crimes', 'Child Abuse and Neglect', 'Cardinals (Roman Catholic Prelates)', 'Sexual Harassment']"
New Zealand to Australia: Get Your Own Flag,2018-07-25,article,News,,"['Politics and Government', 'Flags, Emblems and Insignia', 'Robberies and Thefts', 'Media']"
The Tariff War,2018-07-25,article,News,,"['Customs (Tariff)', 'Agriculture and Farming', 'International Trade and World Market', 'United States Politics and Government']"
